Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total,
,Infrastructure & Investment,Transport,Day-to-day Spending,Research and support,26.797,b,,,,26.797,
,Infrastructure & Investment,Transport,Investment,Railways (net),6537.344,b,,,,6537.344,
,Infrastructure & Investment,Transport,Investment,High Speed Two,5161.506,b,,,,5161.506,
,Infrastructure & Investment,Transport,Investment,Roads (net),4024.527,b,,,,4024.527,
,Infrastructure & Investment,Transport,Investment,Local Authority Transport,1685.555,b,,,,1685.555,
,Infrastructure & Investment,Transport,Investment,Sustainable Travel,821.725,b,,,,821.725,
,Infrastructure & Investment,Transport,Investment,Transport Development Fund,850,b,,,,850,
,Infrastructure & Investment,Transport,Investment,"Aviation, maritime and security (net)",203.366,b,,,,203.366,
,Infrastructure & Investment,Transport,Investment,Buses,139.86,b,,,,139.86,
,Infrastructure & Investment,Transport,Investment,Central administration & ALBs,43.437,b,,,,43.437,
,Infrastructure & Investment,Transport,Investment,Research and support,22.093,b,,,,22.093,
,Infrastructure & Investment,Transport,Investment,Unallocated provision,84.066,b,,,,84.066,
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Industrial strategy and investment,5912.013,b,,,,5912.013,
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Science and research,952.637,b,,,,952.637,
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Administration & central functions,642.011,b,,,,642.011,
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Nuclear decommissioning,510.272,b,,,,510.272,
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Competition and markets,275.931,b,,,,275.931,
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Other energy legacy,225.726,b,,,,225.726,
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Energy affordability,118.119,b,,,,118.119,
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Tackling climate change,96.11,b,,,,96.11,
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Security of energy supply,21.253,b,,,,21.253,
,Infrastructure & Investment,Business & Energy,Investment,Science and research,11075.867,b,,,,11075.867,
,Infrastructure & Investment,Business & Energy,Investment,Nuclear decommissioning,2023.095,b,,,,2023.095,
,Infrastructure & Investment,Business & Energy,Investment,Industrial strategy and investment,1244.75,b,,,,1244.75,
,Infrastructure & Investment,Business & Energy,Investment,Tackling climate change,1111.765,b,,,,1111.765,
